date,source,hour,capability,output
28-Aug-2018,BIOFUEL,1.0,263.0,10.0
28-Aug-2018,GAS,1.0,9086.0,492.0
28-Aug-2018,HYDRO,1.0,6865.0,2484.0
28-Aug-2018,NUCLEAR,1.0,11023.0,10991.0
28-Aug-2018,SOLAR,1.0,0.0,0.0
28-Aug-2018,WIND,1.0,2366.0,2172.0
28-Aug-2018,BIOFUEL,2.0,263.0,10.0
28-Aug-2018,GAS,2.0,9086.0,592.0
28-Aug-2018,HYDRO,2.0,6865.0,2508.0
28-Aug-2018,NUCLEAR,2.0,11023.0,11003.0
28-Aug-2018,SOLAR,2.0,0.0,0.0
28-Aug-2018,WIND,2.0,2414.0,1986.0
28-Aug-2018,BIOFUEL,3.0,263.0,10.0
28-Aug-2018,GAS,3.0,9086.0,753.0
28-Aug-2018,HYDRO,3.0,6865.0,2363.0
28-Aug-2018,NUCLEAR,3.0,11023.0,11012.0
28-Aug-2018,SOLAR,3.0,0.0,0.0
28-Aug-2018,WIND,3.0,3333.0,2295.0
28-Aug-2018,BIOFUEL,4.0,263.0,10.0
28-Aug-2018,GAS,4.0,9086.0,923.0
28-Aug-2018,HYDRO,4.0,6865.0,2355.0
28-Aug-2018,NUCLEAR,4.0,11023.0,11023.0
28-Aug-2018,SOLAR,4.0,0.0,0.0
28-Aug-2018,WIND,4.0,2728.0,2544.0
28-Aug-2018,BIOFUEL,5.0,263.0,15.0
28-Aug-2018,GAS,5.0,9086.0,1020.0
28-Aug-2018,HYDRO,5.0,6865.0,2449.0
28-Aug-2018,NUCLEAR,5.0,11023.0,11030.0
28-Aug-2018,SOLAR,5.0,0.0,0.0
28-Aug-2018,WIND,5.0,2739.0,2184.0
28-Aug-2018,BIOFUEL,6.0,263.0,22.0
28-Aug-2018,GAS,6.0,9086.0,1302.0
28-Aug-2018,HYDRO,6.0,6866.0,2633.0
28-Aug-2018,NUCLEAR,6.0,11023.0,11041.0
28-Aug-2018,SOLAR,6.0,3.0,1.0
28-Aug-2018,WIND,6.0,2709.0,2225.0
28-Aug-2018,BIOFUEL,7.0,263.0,27.0
28-Aug-2018,GAS,7.0,9086.0,1834.0
28-Aug-2018,HYDRO,7.0,6800.0,2706.0
28-Aug-2018,NUCLEAR,7.0,11023.0,11042.0
28-Aug-2018,SOLAR,7.0,28.0,6.0
28-Aug-2018,WIND,7.0,2749.0,2433.0
28-Aug-2018,BIOFUEL,8.0,263.0,29.0
28-Aug-2018,GAS,8.0,8579.0,2350.0
28-Aug-2018,HYDRO,8.0,6725.0,2857.0
28-Aug-2018,NUCLEAR,8.0,11038.0,11045.0
28-Aug-2018,SOLAR,8.0,85.0,53.0
28-Aug-2018,WIND,8.0,2744.0,2747.0
28-Aug-2018,BIOFUEL,9.0,263.0,56.0
28-Aug-2018,GAS,9.0,8529.0,2640.0
28-Aug-2018,HYDRO,9.0,6724.0,3191.0
28-Aug-2018,NUCLEAR,9.0,11038.0,11035.0
28-Aug-2018,SOLAR,9.0,120.0,130.0
28-Aug-2018,WIND,9.0,2993.0,2482.0
28-Aug-2018,BIOFUEL,10.0,263.0,80.0
28-Aug-2018,GAS,10.0,8459.0,3338.0
28-Aug-2018,HYDRO,10.0,6647.0,3214.0
28-Aug-2018,NUCLEAR,10.0,11038.0,11006.0
28-Aug-2018,SOLAR,10.0,176.0,187.0
28-Aug-2018,WIND,10.0,2800.0,2502.0
28-Aug-2018,BIOFUEL,11.0,264.0,81.0
28-Aug-2018,GAS,11.0,8884.0,3430.0
28-Aug-2018,HYDRO,11.0,6584.0,3276.0
28-Aug-2018,NUCLEAR,11.0,11038.0,10986.0
28-Aug-2018,SOLAR,11.0,220.0,236.0
28-Aug-2018,WIND,11.0,2505.0,2548.0
28-Aug-2018,BIOFUEL,12.0,272.0,89.0
28-Aug-2018,GAS,12.0,8884.0,3744.0
28-Aug-2018,HYDRO,12.0,6584.0,3237.0
28-Aug-2018,NUCLEAR,12.0,11038.0,10979.0
28-Aug-2018,SOLAR,12.0,229.0,244.0
28-Aug-2018,WIND,12.0,2415.0,2742.0
28-Aug-2018,BIOFUEL,13.0,268.0,85.0
28-Aug-2018,GAS,13.0,8884.0,3758.0
28-Aug-2018,HYDRO,13.0,6584.0,3443.0
28-Aug-2018,NUCLEAR,13.0,11038.0,10972.0
28-Aug-2018,SOLAR,13.0,235.0,258.0
28-Aug-2018,WIND,13.0,2318.0,2740.0
28-Aug-2018,BIOFUEL,14.0,271.0,108.0
28-Aug-2018,GAS,14.0,8874.0,4683.0
28-Aug-2018,HYDRO,14.0,6584.0,3605.0
28-Aug-2018,NUCLEAR,14.0,11038.0,11012.0
28-Aug-2018,SOLAR,14.0,232.0,238.0
28-Aug-2018,WIND,14.0,2315.0,2209.0
28-Aug-2018,BIOFUEL,15.0,276.0,169.0
28-Aug-2018,GAS,15.0,8874.0,4747.0
28-Aug-2018,HYDRO,15.0,6662.0,3785.0
28-Aug-2018,NUCLEAR,15.0,11038.0,11052.0
28-Aug-2018,SOLAR,15.0,207.0,233.0
28-Aug-2018,WIND,15.0,2180.0,1645.0
28-Aug-2018,BIOFUEL,16.0,274.0,181.0
28-Aug-2018,GAS,16.0,8874.0,4698.0
28-Aug-2018,HYDRO,16.0,6729.0,3981.0
28-Aug-2018,NUCLEAR,16.0,11038.0,11073.0
28-Aug-2018,SOLAR,16.0,170.0,203.0
28-Aug-2018,WIND,16.0,1724.0,1392.0
28-Aug-2018,BIOFUEL,17.0,279.0,184.0
28-Aug-2018,GAS,17.0,8874.0,4614.0
28-Aug-2018,HYDRO,17.0,6728.0,4345.0
28-Aug-2018,NUCLEAR,17.0,11038.0,11086.0
28-Aug-2018,SOLAR,17.0,112.0,128.0
28-Aug-2018,WIND,17.0,1363.0,1258.0
28-Aug-2018,BIOFUEL,18.0,276.0,100.0
28-Aug-2018,GAS,18.0,8874.0,4044.0
28-Aug-2018,HYDRO,18.0,6728.0,4528.0
28-Aug-2018,NUCLEAR,18.0,11038.0,11102.0
28-Aug-2018,SOLAR,18.0,56.0,55.0
28-Aug-2018,WIND,18.0,1112.0,1112.0
28-Aug-2018,BIOFUEL,19.0,282.0,106.0
28-Aug-2018,GAS,19.0,8874.0,4296.0
28-Aug-2018,HYDRO,19.0,6726.0,4528.0
28-Aug-2018,NUCLEAR,19.0,11123.0,11114.0
28-Aug-2018,SOLAR,19.0,5.0,7.0
28-Aug-2018,WIND,19.0,1098.0,995.0
28-Aug-2018,BIOFUEL,20.0,276.0,163.0
28-Aug-2018,GAS,20.0,8874.0,4742.0
28-Aug-2018,HYDRO,20.0,6758.0,4221.0
28-Aug-2018,NUCLEAR,20.0,11123.0,11116.0
28-Aug-2018,SOLAR,20.0,0.0,0.0
28-Aug-2018,WIND,20.0,1187.0,976.0
